타임스탬프,성별,나이 대,휴양,액티비티,쇼핑,맛집(먹거리),역사적 장소 탐방(문화유산),자연경관,"전시물 관람(동물원, 수족관, 미술관 등)",공연관람,본인이 경험한 관광지 중 가장 좋았던 여행지 1곳을 써주세요.,위에서 제시한 관광지는 분류 항목 중 어디에 해당되나요?(다중선택 가능)1,본인이 가고 싶은 관광지 1곳을 작성해주세요.,위에서 제시한 관광지는 분류 항목 중 어디에 해당되나요?(다중선택 가능)2,현재 서비스 중인 여행 어플리케이션에 대해 부족한 점이 있나요? 혹은 추가했으면 하는 기능이 있으신가요? 자유롭게 작성해주세요.
12-22-2021 20:36:08,여성,20대,5,5,3,2,1,2,2,1,일본 도쿄,"맛집, 액티비티, 쇼핑",보라카이,휴양,
12-22-2021 20:37:23,남성,20대,4,2,1,4,5,5,4,3,일본 나가사키,"맛집, 자연경관, 문화유산",일본 후지산,"휴양, 자연경관, 문화유산",해외 현지 교통편 검색이 부족한부분이 많음
12-22-2021 20:38:31,남성,20대,5,5,4,5,2,4,4,4,제주도,"휴양, 액티비티",베를린,휴양,"타인들의 추천 루트 부족, 솔직한 리뷰가 더 있으면 좋겠음"
12-22-2021 20:39:09,남성,20대,5,3,3,5,3,5,5,4,제주도,"자연경관, 전시물",일본,"휴양, 자연경관",휴양에 적합한 가격과 장소를 추천해주는 기능이 필요
12-22-2021 20:39:13,여성,20대,5,5,2,5,5,5,5,3,몽골,자연경관,북유럽,"휴양, 자연경관, 문화유산",사람들의 자세한 리뷰가 많으면 좋을 것 같다. 사진이나 후기 등 혹은 관광지에 대한 공식적인 정보가 있으면 좋을 것 같다용
12-22-2021 20:39:56,남성,20대,4,2,1,5,1,3,3,2,부산,휴양,캐나다,"휴양, 자연경관",x
12-22-2021 20:40:39,남성,20대,5,3,2,5,4,4,2,2,일본,"휴양, 자연경관, 쇼핑",일본,"휴양, 자연경관, 문화유산, 액티비티, 쇼핑",사람이 얼마나 붐비는지(해당 날짜에 다른 여행객들 수?)
12-22-2021 20:46:17,남성,20대,5,4,5,5,2,4,2,2,싱가포르,"휴양, 쇼핑",캐나다,"휴양, 자연경관",더 자세한 정보 제공...?
12-22-2021 20:48:16,남성,20대,5,4,2,4,4,3,3,3,프라하,"휴양, 문화유산",암스테르담,"문화유산, 쇼핑",
12-22-2021 20:48:45,여성,20대,5,5,5,5,4,4,4,5,중국 상하이,"맛집, 쇼핑",태국 치앙마이,"휴양, 공연",
12-22-2021 20:49:28,여성,20대,4,5,2,4,4,5,4,4,제주도,"휴양, 자연경관, 액티비티, 쇼핑",경주,"휴양, 자연경관, 문화유산",
12-22-2021 20:49:52,여성,20대,5,2,1,4,1,3,1,1,부산,"맛집, 휴양, 자연경관",제주도,자연경관,
12-22-2021 20:51:32,남성,20대,5,3,4,5,2,5,4,5,거제도,"맛집, 휴양, 자연경관",독도,"휴양, 자연경관, 문화유산",
12-22-2021 20:52:12,여성,20대,4,4,4,5,5,3,4,4,디즈니랜드,"액티비티, 공연",뉴욕...,"쇼핑, 공연",
12-22-2021 20:52:39,남성,20대,5,1,3,5,5,1,1,2,런던,"휴양, 문화유산, 쇼핑",훗카이도,휴양,이용을 하지 않습니다
12-22-2021 20:52:56,여성,20대,5,5,4,5,3,4,5,5,부산,"맛집, 자연경관",용산,휴양,
12-22-2021 20:54:22,남성,20대,3,3,3,4,1,1,1,3,중국 상해,"휴양, 액티비티, 공연",서울,"휴양, 공연",
12-22-2021 20:56:55,여성,20대,5,4,3,4,3,4,4,4,부산,"휴양, 자연경관, 액티비티",그리스 산토리니,"휴양, 자연경관",광고성이 너무 많아요
12-22-2021 20:57:06,남성,20대,5,4,2,5,2,4,2,2,제주도,"휴양, 자연경관",부산,휴양,
12-22-2021 20:57:52,여성,50대 이상,4,2,1,3,4,4,4,2,제주도,"휴양, 자연경관, 문화유산",울릉도,자연경관,
12-22-2021 20:57:59,남성,20대,5,4,2,4,1,4,5,3,일본 도쿄,"휴양, 액티비티",유럽,"휴양, 자연경관, 액티비티, 쇼핑",
12-22-2021 20:58:14,남성,20대,5,3,3,5,4,4,4,3,오키나와,"맛집, 문화유산",삿포로,"휴양, 자연경관",
12-22-2021 21:00:22,남성,20대,4,2,2,3,4,5,4,3,수원 화성,문화유산,울릉도,자연경관,
12-22-2021 21:01:11,남성,20대,5,5,3,5,5,4,3,3,벳푸,"휴양, 자연경관",벳푸,"휴양, 자연경관",
12-22-2021 21:01:34,남성,20대,5,4,5,4,3,4,4,4,일본,"휴양, 자연경관",캐나다,자연경관,복잡함
12-22-2021 21:01:34,여성,20대,5,4,3,5,3,4,1,3,세부,"휴양, 자연경관, 액티비티",하와이,"휴양, 자연경관, 액티비티",
12-22-2021 21:03:06,여성,20대,5,5,3,5,5,5,5,2,제주도,맛집,경주,"휴양, 자연경관, 문화유산",
12-22-2021 21:03:33,남성,20대,4,5,5,5,5,5,5,5,부산,맛집,집,"휴양, 문화유산, 액티비티, 쇼핑, 전시물",
12-22-2021 21:03:38,남성,20대,3,3,3,4,4,4,2,3,순천만,자연경관,강원도,휴양,
12-22-2021 21:04:34,남성,20대,5,2,4,5,3,5,5,5,.,"휴양, 자연경관",유럽,"휴양, 쇼핑",
12-22-2021 21:06:00,남성,20대,3,4,3,2,2,3,3,3,부산,"휴양, 액티비티",제주도,"휴양, 자연경관",
12-22-2021 21:13:57,여성,20대,4,2,2,3,3,4,4,4,경주,"맛집, 휴양, 자연경관",제주도,"휴양, 자연경관, 전시물","여행 어플을 사용하지 않습니다만, 많이 다니게되면 사용할 것 같습니다!"
12-22-2021 21:14:26,남성,20대,5,2,4,5,2,4,4,1,후쿠오카,"맛집, 휴양, 쇼핑",삿포로,"휴양, 자연경관",
12-22-2021 21:15:02,여성,50대 이상,4,2,2,3,3,4,4,4,스위스,자연경관,이탈리아,문화유산,
12-22-2021 21:17:09,여성,20대,5,4,3,5,4,5,4,5,프랑스 파리,"맛집, 문화유산, 쇼핑, 전시물",런던,"문화유산, 쇼핑, 공연, 전시물",
12-22-2021 21:17:57,여성,20대,5,4,2,2,1,4,2,3,제주도,휴양,제주도 ,휴양,없다
12-22-2021 21:18:09,남성,50대 이상,4,4,2,5,4,5,4,2,스페인,자연경관,뉴질랜드,자연경관,"여행지 맛집,코스상세,숙박상세"
12-22-2021 21:24:55,여성,20대,4,4,3,5,4,4,4,3,부산,"맛집, 자연경관, 쇼핑",울릉도,"자연경관, 문화유산, 액티비티",
12-22-2021 21:26:40,남성,20대,3,5,4,5,3,3,3,4,중국,"맛집, 문화유산",일본,"휴양, 쇼핑",
12-22-2021 21:28:41,여성,30대,4,3,3,4,4,4,4,3,런던,"문화유산, 액티비티",하와이,"휴양, 자연경관","계획, 예매, 예약 등 다 다른 앱으로 진행하고 관리한다는 점이 불편함. 한 곳에서 관리하고 쉽게 확인할 수 있으면 좋겠음. 유명 여행지에 치우쳐져있다는 점도 아쉬움"
12-22-2021 21:29:08,남성,20대,3,2,2,5,5,4,2,2,오사카,"휴양, 자연경관, 문화유산",그리스 미코노스 섬,"휴양, 자연경관, 문화유산","여행지 숙소 예약, 항공표 예약 어플리케이션 등에서 작년이나 최근의 매물 가격과 비교해서 얼마나 변동폭이 있고, 내가 보고있는 매물이 지나치게 비싼것은 아닌지 쉽게 분석할 수 있으면 좋겠음 (물론, 물가상승 등의 변수가 있음을 소비자 본인이 인지해야 할 것)"
12-22-2021 21:34:31,남성,20대,4,1,2,5,5,5,5,3,히메지 성,문화유산,경주,"휴양, 자연경관, 문화유산",
12-22-2021 21:48:58,남성,20대,5,3,5,4,1,1,1,3,도쿄,"맛집, 액티비티, 쇼핑, 전시물",타임스퀘어,"액티비티, 쇼핑",.
12-22-2021 21:51:21,남성,20대,5,4,4,5,4,2,1,1,도쿄,"휴양, 쇼핑",독일,"휴양, 문화유산, 액티비티, 쇼핑",사용의 필요성을 느끼지 못해 여행 어플을 사용하지 않습니다.
12-22-2021 21:52:50,남성,20대,5,2,4,5,5,5,5,3,속초,"휴양, 자연경관",홍콩,"휴양, 문화유산",
12-22-2021 22:20:23,남성,20대,4,2,2,5,4,4,3,3,Hallstatt,자연경관,Sagrada Familia,문화유산,
12-22-2021 22:25:45,남성,20대,4,4,3,5,4,5,5,4,제주도,"맛집, 휴양, 자연경관, 전시물",경주,"휴양, 자연경관, 문화유산, 전시물",
12-22-2021 22:30:51,남성,20대,5,3,2,4,2,4,1,3,사이판,휴양,온천,휴양,
12-22-2021 22:58:44,남성,30대,5,3,2,4,1,4,2,2,프라하,"맛집, 휴양, 자연경관",태국,"휴양, 자연경관",여행일정 공유 기능
12-22-2021 23:10:48,남성,50대 이상,5,3,1,3,1,4,3,2,벤쿠버,휴양,뉴질랜드,"휴양, 자연경관",여행경비
12-22-2021 23:24:03,여성,20대,4,3,4,4,3,4,3,4,우도,"휴양, 전시물",경주,문화유산,
12-23-2021 0:55:10,여성,20대,4,5,5,3,4,5,2,3,교토,"휴양, 자연경관, 쇼핑",오사카,"액티비티, 쇼핑",추천 이동동선이 비효율적이다
12-23-2021 1:00:42,남성,20대,5,5,1,5,2,5,5,2,도쿄,맛집,파리,문화유산,몰루
12-23-2021 12:18:56,남성,20대,5,4,2,4,1,4,3,3,제주도,"휴양, 자연경관",오키나와,"휴양, 자연경관",
12-23-2021 13:31:40,여성,20대,4,5,2,4,3,4,4,2,코타키나발루,"휴양, 자연경관",유럽,"휴양, 자연경관, 액티비티",지리와 관련된 맛집 또는 액티비티 경로 추천이요!
12-23-2021 14:12:48,여성,40대,2,2,1,4,5,5,5,2,노르웨이 피요르드,자연경관,체코 프라하,"자연경관, 문화유산, 전시물",홍보 부족
12-23-2021 14:40:56,남성,20대,4,4,3,4,3,4,3,3,제주도,"자연경관, 액티비티",뉴욕,"쇼핑, 공연, 전시물", 
12-23-2021 14:44:56,여성,50대 이상,5,3,3,4,4,5,4,4,하와이,"휴양, 자연경관",스위스,자연경관,
12-23-2021 14:48:08,남성,50대 이상,3,3,2,1,5,5,4,3,하와이,"자연경관, 액티비티",파리,"자연경관, 문화유산",
12-23-2021 14:54:04,남성,20대,5,1,3,5,2,5,4,3,강원도 오색약수온천,"휴양, 자연경관",겨울날 산속 온천,"휴양, 자연경관",
12-23-2021 14:56:26,남성,20대,5,2,2,5,1,1,2,2,제주도,맛집,보라카이,휴양,
12-23-2021 14:56:35,남성,20대,4,5,5,3,1,1,2,3,브리즈번 써퍼비치,액티비티,라스베가스 ,액티비티,
12-23-2021 14:56:41,남성,20대,3,4,3,5,4,4,4,3,제주도,"휴양, 자연경관, 문화유산, 액티비티, 쇼핑, 공연, 전시물",샌프란시스코,"휴양, 자연경관, 문화유산, 액티비티, 쇼핑, 공연, 전시물",
12-23-2021 14:58:10,남성,20대,5,2,1,4,3,5,4,1,싱가포르 보타닉가든,"휴양, 자연경관",그랜드캐니언,자연경관,
12-23-2021 15:08:58,남성,20대,4,5,3,4,2,4,4,2,경주,"휴양, 자연경관, 문화유산, 액티비티",일본 오사카,"휴양, 자연경관, 액티비티",
12-23-2021 20:14:21,남성,20대,4,4,2,4,3,4,4,4,제주도,"휴양, 자연경관",일본,"휴양, 자연경관, 액티비티, 쇼핑",
12-23-2021 20:15:09,남성,20대,5,2,3,4,2,4,4,4,도쿄,"맛집, 쇼핑",싱가폴,쇼핑,.
12-23-2021 20:22:45,남성,20대,5,5,2,3,1,3,1,1,선재도,자연경관,코타키나발루,"휴양, 액티비티",
12-23-2021 22:04:41,남성,20대,3,4,2,4,1,2,1,4,보성,맛집,산토리노,휴양,너무 설명이 부족합니다
12-23-2021 7:46:25,여성,20대,5,4,3,5,4,5,4,5,영국,"휴양, 자연경관",캐나다,"휴양, 자연경관",
12-23-2021 7:53:05,여성,20대,5,1,4,3,4,3,5,2,중국 하얼빈,"휴양, 전시물",유럽쪽 순회,"휴양, 문화유산, 전시물",
12-23-2021 8:34:32,남성,20대,5,2,1,3,1,2,4,3,제주도,"휴양, 자연경관, 문화유산",남극,"휴양, 자연경관, 액티비티",
12-24-2021 9:53:05,남성,20대,4,5,3,3,1,4,2,1,가평,"휴양, 액티비티",제주도,"휴양, 자연경관, 액티비티",
12-26-2021 23:01:41,여성,20대,5,4,1,5,4,5,3,3,제주도,자연경관,덕유산,자연경관,여행 어플리케이션을 잘 모르겠습니다
12-27-2021 17:46:32,여성,20대,5,5,3,3,4,5,3,3,보홀,"휴양, 자연경관, 액티비티",프랑스,"휴양, 문화유산",
12-27-2021 17:49:37,여성,20대,5,3,4,4,2,2,2,5,세부,휴양,파리,"문화유산, 쇼핑, 전시물",
12-27-2021 17:54:31,남성,20대,4,2,3,3,2,5,3,2,나이아가라 폭포,자연경관,산토리니,자연경관,
12-27-2021 17:59:02,여성,20대,4,5,3,5,3,4,4,5,이탈리아,문화유산,스페인,휴양,
12-27-2021 18:47:18,여성,20대,5,4,2,5,4,4,4,4,제주도,"휴양, 자연경관, 문화유산, 공연, 전시물",여수,"휴양, 자연경관",
12-27-2021 19:22:19,여성,20대,3,5,4,5,4,5,1,2,우도,"맛집, 자연경관, 액티비티",경주,"자연경관, 문화유산",
12-27-2021 19:22:25,여성,30대,3,1,1,5,1,4,4,4,여수,"맛집, 자연경관, 전시물",제주도,자연경관,에어비앤비.. 어렵고 불편해요
12-27-2021 20:34:11,여성,20대,4,4,2,4,3,2,2,4,보라카이,휴양,끄라비,휴양,
12-27-2021 21:25:30,여성,20대,5,4,3,5,1,4,2,1,독도,"자연경관, 문화유산",스위스,자연경관,여행 서비스를 잘 안써서 모르겠음
12-27-2021 21:27:19,여성,20대,4,2,3,4,2,3,3,4,마카오,쇼핑,보라카이,휴양,
12-27-2021 3:32:53,남성,30대,4,3,2,3,3,4,3,3,부산 해운대,휴양,제주도,휴양,여행 경비에 따른 여행기간설정
12-28-2021 17:17:54,남성,30대,3,4,2,2,5,5,5,5,베트남 후에,"자연경관, 문화유산, 전시물",아이슬란드,"휴양, 자연경관, 액티비티",
12-30-2021 14:59:01,여성,20대,5,5,3,4,4,5,5,2,제주도,"휴양, 자연경관",상하이,자연경관,관광지 소개 기능
1-3-2022 14:37:44,여성,20대,5,5,2,3,1,2,4,5,전주 갔을때 한번 페러글라이딩 해본 경험이 있는데 재밌었습니다.,액티비티,그냥....호캉스....?,휴양,
1-3-2022 16:39:28,여성,20대,5,4,2,5,1,3,2,2,제주도,휴양,미국,"휴양, 자연경관, 액티비티",
1-3-2022 17:03:08,남성,20대,5,3,2,5,1,4,3,5,무주 구천동,"휴양, 자연경관",부산 해운대,"휴양, 쇼핑",체험할 요소에 따라 예상 여행경비를 측정해주는 기능이 있으면 좋을 것 같습니다.
1-3-2022 18:58:39,남성,20대,4,3,2,2,4,5,2,2,괌,"휴양, 자연경관, 액티비티",뉴욕,액티비티,
1-3-2022 19:11:07,여성,20대,3,3,2,3,3,4,3,2,베트남 다낭,맛집,뉴질랜드,자연경관,
1-3-2022 2:13:50,여성,20대,3,2,3,3,1,3,2,2,홍콩,"자연경관, 쇼핑",동유럽,"자연경관, 쇼핑, 전시물",
1-4-2022 0:49:08,여성,20대,4,4,2,3,4,5,5,5,순천만 국가정원,"휴양, 자연경관",옐로우 나이프(오로라),자연경관,안써봐서 모르는데 현지 교통수단에 대한 정보거 있을까요?
1-4-2022 1:13:28,여성,20대,5,4,3,5,3,5,1,1,일본,"맛집, 자연경관",싱가포르,"휴양, 액티비티",
1-4-2022 11:34:35,여성,20대,5,4,3,5,3,5,5,5,부산,"휴양, 자연경관",제주도,"휴양, 자연경관, 문화유산, 액티비티",
1-4-2022 12:35:42,남성,20대,4,4,2,3,4,4,2,2,나이아가라폭포,자연경관,맨허튼,문화유산,
1-4-2022 13:01:37,남성,20대,3,5,2,5,4,5,4,3,스위스,"휴양, 자연경관",아이슬란드,"휴양, 자연경관",
1-4-2022 15:08:45,여성,20대,5,5,5,5,3,2,2,3,가평,"휴양, 액티비티",부산,"휴양, 쇼핑",
1-4-2022 15:36:57,남성,20대,5,2,4,5,2,4,2,1,코타키나발루,"휴양, 자연경관",켈리포니아,"휴양, 쇼핑",
1-4-2022 23:21:19,여성,20대,5,4,3,4,4,5,5,4,나트랑 리조트,"휴양, 자연경관",파리,"자연경관, 문화유산, 액티비티, 전시물",
1-4-2022 3:07:43,여성,20대,4,4,2,5,3,4,3,3,제주도,"맛집, 휴양, 자연경관, 문화유산",런던,"문화유산, 전시물",번역...
1-5-2022 14:53:08,남성,20대,3,4,2,4,1,4,5,5,제주도,"휴양, 자연경관, 액티비티",부산,액티비티,
1-5-2022 20:57:33,남성,20대,4,2,2,5,2,5,2,2,라스베가스,"맛집, 쇼핑",몰디브,휴양,
1-5-2022 8:37:10,남성,20대,5,3,2,3,4,4,3,2,런던,"휴양, 문화유산",프라하,"휴양, 자연경관",
1-6-2022 1:51:21,남성,20대,5,3,3,5,3,5,4,4,밴쿠버,"휴양, 자연경관",캘리포니아,"휴양, 자연경관, 문화유산, 액티비티, 쇼핑, 공연, 전시물",여행을 간지 너무 오래돼서 잘모르겠다
1-6-2022 1:52:36,남성,20대,3,3,2,4,2,4,4,4,미 서부,"맛집, 자연경관, 문화유산",독일,"휴양, 자연경관, 문화유산",
1-6-2022 1:53:55,남성,20대,5,3,2,5,3,2,3,3,캐나다,휴양,터키,휴양,
1-6-2022 12:34:53,여성,20대,5,4,3,3,4,5,4,4,제주도,"휴양, 자연경관",L.A ,"휴양, 문화유산, 쇼핑",
1-6-2022 15:27:35,남성,40대,5,1,3,4,4,4,2,1,부산,"휴양, 자연경관, 쇼핑",경주,"휴양, 문화유산",없음
1-6-2022 15:45:21,남성,20대,4,2,4,4,2,2,3,2,일본 도쿄,"맛집, 쇼핑",일본 오키나와,"휴양, 자연경관",
1-6-2022 15:52:08,남성,20대,3,4,2,5,5,5,2,1,삿뽀로,"맛집, 자연경관",유럽,문화유산,
1-6-2022 15:55:29,남성,20대,3,3,2,5,3,4,3,3,제주도,"맛집, 휴양, 자연경관",영국,"휴양, 공연",
1-6-2022 16:12:18,남성,20대,4,5,5,5,1,2,3,4,광안리,"휴양, 자연경관",강릉,"휴양, 자연경관",없음
1-6-2022 17:12:14,남성,20대,5,5,2,5,2,4,2,1,일본,"휴양, 자연경관, 문화유산, 쇼핑",유럽,"휴양, 자연경관, 문화유산",
1-6-2022 17:39:23,남성,20대,2,4,1,4,4,5,3,2,일본 홋카이도,"맛집, 자연경관",스위스,자연경관,여행 계획을 쉽게 짜고 한눈에 볼 수 있으면 좋겠다.
1-6-2022 18:23:49,여성,50대 이상,4,2,4,5,3,4,4,4,오사카,"맛집, 쇼핑, 전시물",프랑스,"문화유산, 공연, 전시물",여행지에서 문제가 생길때 소통이 가능한 커뮤니티가 있었으면 좋겠다
1-6-2022 19:28:55,남성,20대,4,2,3,3,5,4,4,3,교토,문화유산,제주도,"휴양, 자연경관",여행지에 대한 정보가 대략적으로만 나옴. 교통에 대한 정보 부족하여 관광지간의 이동을 따로 찾아봐야 함.
1-6-2022 2:03:07,남성,20대,4,1,5,5,1,1,2,1,시카고,쇼핑,영국,"문화유산, 쇼핑",
1-6-2022 2:03:58,여성,20대,5,2,3,5,3,5,5,5,제주도,"휴양, 자연경관, 공연",일본,"휴양, 쇼핑",
1-6-2022 21:36:14,남성,20대,5,5,1,5,3,4,1,1,일본,"맛집, 휴양, 문화유산",러시아,"자연경관, 액티비티",안써봐서 몰라잉
1-6-2022 21:47:54,여성,20대,5,5,5,5,5,5,5,3,캘리포니아,"휴양, 자연경관, 문화유산",아이슬란드,자연경관,"비행기 티켓 좌석정보 연동
숙소 연동
공항 숙소등을 반영한 여행 동선 추천
"
1-7-2022 21:18:19,남성,20대,4,4,3,4,4,5,4,4,우유니사막,"자연경관, 문화유산",남극,액티비티,대중교통 관련 정보
1-7-2022 8:01:32,남성,20대,2,4,4,5,2,2,1,4,베트남 하노이,"맛집, 쇼핑",몽골 울란바토르,액티비티,
